geo,name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
cyp,Cyprus,41.353,42.88,42.733,43.602,44.393,44.787,45.351,46.123,45.138,45.605,48.799,50.088,51.252,50.239,49.869,51.314,53.138,53.627,53.452,54.073,53.066,50.741,48.563,49.975,50.301,50.47,52.227,54.32,55.214,54.433,54.755,56.451,58.619,58.811,58.736,58.586
cze,Czech Republic,51.202,50.725,49.505,49.873,49.85,49.472,48.862,47.677,46.674,46.181,46.209,46.352,45.804,45.544,45.693,46.063,46.399,46.462,45.616,45.066,45.566,45.935,46.671,47.045,48.075,49.317,50.245,51.082,51.056,49.943,49.789,50.746,51.617,51.525,51.428,51.189
deu,Germany,44.776,43.874,43.042,43.026,43.224,43.262,43.236,43.471,44.524,44.948,45.508,45.508,45.345,44.728,45.147,46.441,47.63,47.982,48.683,49.065,50.644,50.874,51.491,51.946,52.152,52.768,53.309,53.609,54.191,53.191,53.291,54.04,54.264,53.913,53.61,53.257
dji,Djibouti,10.191,10.149,10.014,9.957,9.948,10.016,10.094,10.223,10.361,10.436,10.507,10.562,10.607,10.62,10.637,10.697,10.779,10.87,10.906,10.961,11.041,11.138,11.217,11.295,11.411,11.531,11.621,11.705,11.799,11.187,11.377,11.843,11.963,12.044,12.101,12.132
dnk,Denmark,55.289,55.517,54.234,52.701,52.899,53.415,54.824,55.556,56.607,57.044,57.011,57.705,56.503,57.33,57.42,58.517,58.294,57.606,56.38,54.982,54.237,53.741,53.254,53.02,53.126,53.997,54.244,54.567,55,54.391,55.224,56.875,56.658,56.235,56.104,55.972
dom,Dominican Republic,30.773,31.702,32.439,32.609,32.924,33.34,34.137,34.693,35.178,35.474,34.027,35.963,35.246,35.248,35.928,36.99,37.222,38.751,35.866,38.734,40.011,41.036,40.334,40.963,42.911,43.582,45.029,45.707,47.498,43.129,44.703,46.108,48.051,48.463,48.803,49.304
dza,Algeria,9.66,9.192,8.85,8.569,8.065,8.419,8.678,8.585,8.488,8.448,8.781,8.989,9.318,10.396,10.724,11.218,10.958,11.423,11.642,11.643,12.079,12.264,12.547,12.857,12.707,12.198,11.723,11.586,11.454,10.387,10.611,10.974,11.144,11.074,10.983,10.876
ecu,Ecuador,44.457,44.549,44.588,44.966,45.122,45.219,45.645,48.658,45.759,42.918,44.504,45.397,46.143,49.714,49.472,50.397,49.922,49.42,46.743,45.626,45.047,46.243,46.368,45.714,49.561,52.17,53.409,52.088,51.903,44.604,49.921,51.071,50.237,49.444,49.171,49.023
egy,Egypt,17.486,19.051,17.296,17.832,16.585,17.143,16.332,15.828,16.592,15.745,15.896,13.811,14.496,14.479,15.424,16.202,19.061,17.795,17.831,18.102,17.508,17.129,17.468,17.626,17.183,17.649,17.121,14.486,12.479,12.033,13.107,12.448,12.51,12.356,12.232,12.119
eri,Eritrea,69.844,69.675,69.509,69.287,69.402,69.414,69.242,69.096,68.982,68.941,68.719,68.659,68.691,68.79,68.732,68.722,68.659,68.752,68.625,68.467,68.401,68.417,68.545,68.295,68.334,68.211,68.222,68.095,67.907,66.627,67.036,67.736,67.828,67.813,67.829,67.854
